timestep,mean_return,std_return,max_return,min_return,algorithm,env_type,seed
5000,66.08639679910054,0.8783435234615123,67.49622506016017,64.80444993172392,PPO,MDP,2
10000,257.4322365204998,1.6729069176917972,259.6477098380993,255.23889735691037,PPO,MDP,2
15000,255.10867536044535,3.5829877089104305,261.39242898244896,250.46641921248303,PPO,MDP,2
20000,256.53403626240026,2.03297479442111,259.5248850484462,253.83146526189117,PPO,MDP,2
25000,260.7078233854825,5.831672783001725,269.35441910102406,254.21005026920156,PPO,MDP,2
30000,258.5265697313657,3.8180966194417802,264.26794102714473,253.51981076193454,PPO,MDP,2
35000,259.0635489600851,2.21440749020026,262.5631413124003,256.00043894549486,PPO,MDP,2
40000,260.3601158724591,2.1324923080850504,262.9690415049642,257.72885285802903,PPO,MDP,2
45000,262.19290762459445,2.925541351496249,265.5532405559376,257.95310234614766,PPO,MDP,2
50000,254.9465753954742,1.7360996900690178,257.02003274973686,251.8489278813142,PPO,MDP,2
55000,256.9157720111167,2.2305217656532994,259.7238346062679,252.9614067578374,PPO,MDP,2
60000,266.02005776988574,1.5205088935397246,267.39459260288083,263.08682162341324,PPO,MDP,2
65000,257.91994833167774,3.053538452188121,263.0660046745778,254.40267899562244,PPO,MDP,2
70000,257.79628933089924,3.4961711048406032,263.3880151209679,253.61572397936268,PPO,MDP,2
75000,258.8160422320066,4.150167586581455,264.39812642429337,253.38614707371272,PPO,MDP,2
80000,260.04885692696814,2.871532709243861,264.8780373042648,257.01112861101774,PPO,MDP,2
85000,261.31003055013076,3.0950768332698053,263.8924473422734,257.18612633914637,PPO,MDP,2
90000,265.2136099479985,5.806430925105086,272.77621597910104,258.76930656487673,PPO,MDP,2
95000,267.9724870751219,3.8273793599843464,275.3705849574781,264.85441284292335,PPO,MDP,2
100000,267.0188801517148,6.0634315348470365,278.3778912089617,261.94881628022415,PPO,MDP,2
105000,267.76317670403586,2.2985407757276937,271.1692440371084,264.5313954824369,PPO,MDP,2
110000,273.209368751259,2.3336972528306057,276.5592958218725,270.76322501877195,PPO,MDP,2
115000,274.44751143229354,3.100481356338199,277.55546322793384,270.067004317127,PPO,MDP,2
120000,274.4495575615958,3.8230004386909777,279.2234174028067,268.2786503463536,PPO,MDP,2
125000,293.4354737189869,7.404520288203106,303.21306536073064,286.0807819679859,PPO,MDP,2
130000,291.05071311003263,6.643076134357762,299.85829204037947,282.7121057212064,PPO,MDP,2
