timestep,mean_return,std_return,max_return,min_return,algorithm,env_type,seed
5000,89.94439958322006,5.386117391642225,96.58402523622053,82.91434273220358,PPO,MDP,0
10000,258.67213887239177,4.33901476802908,264.7674460896457,251.70855178406757,PPO,MDP,0
15000,259.1810728351696,3.276319114417019,264.9979608772767,255.2870188253716,PPO,MDP,0
20000,252.58101151398563,5.8531905164833224,261.16084869897685,245.03908014147694,PPO,MDP,0
25000,254.91218625604643,5.655229943029357,263.36928323339697,246.72467058472424,PPO,MDP,0
30000,251.48090269242942,2.5052486056042684,256.4417953575485,249.7632043293206,PPO,MDP,0
35000,254.08188249962367,2.927326972332122,259.7103694151458,251.78596041908506,PPO,MDP,0
40000,253.53210358093907,3.1643797640580362,257.6984751501041,248.36059239987057,PPO,MDP,0
45000,254.12768137553826,2.8818207299725502,257.3049039328777,249.5376958299616,PPO,MDP,0
50000,256.9604325206632,2.3727819142105164,260.4991160373715,253.0308236939916,PPO,MDP,0
55000,255.42385534570198,2.1983844390697502,257.20223707446746,252.04715963683927,PPO,MDP,0
60000,256.15744566280466,3.0471272141492576,260.4132425155133,251.78051536069003,PPO,MDP,0
65000,253.57797072332582,1.8546381456812033,255.8231503590114,251.0923048226393,PPO,MDP,0
70000,257.1804478985694,2.924066983442922,261.6054300435554,254.30632301425024,PPO,MDP,0
75000,258.6981195843897,2.914481994957038,261.25129105573086,253.7338196627939,PPO,MDP,0
80000,256.28786648134604,2.9168777853965095,260.9315078294809,252.7564356833503,PPO,MDP,0
85000,254.33980051219856,2.0907464738647894,257.90435733466194,251.4789902079809,PPO,MDP,0
90000,254.33725819846012,1.9750382729521576,257.04055483196055,251.54733413615727,PPO,MDP,0
95000,253.6990008707274,2.8316747862670213,259.0372726448597,250.71516712173946,PPO,MDP,0
100000,254.32479498971924,4.931871075285877,263.5938441917777,249.77099658893147,PPO,MDP,0
105000,255.45991020904526,2.3992906846323354,258.42120578044404,252.20808405240558,PPO,MDP,0
110000,258.1829589446837,2.2866489622468618,261.25498431763305,255.07400827850253,PPO,MDP,0
115000,257.51044382619295,2.678477873994746,262.2829260857886,254.0247715038816,PPO,MDP,0
120000,255.04738300900166,3.0303804921147206,258.9778687559454,249.79602045342997,PPO,MDP,0
125000,257.92017993142576,3.273952001301299,263.0675664743091,254.72590551970774,PPO,MDP,0
130000,259.09649248341503,4.2813521586176275,265.73451865223444,252.93472932807705,PPO,MDP,0
