timestep,mean_return,std_return,max_return,min_return,algorithm,env_type,seed
5000,85.8016481601466,5.0956847061235715,94.34886149889867,80.45849829479053,PPO,RN,1
10000,247.601669458416,2.031813457451422,250.0700089258043,245.3872382773946,PPO,RN,1
15000,248.43205106965047,2.207941384300793,250.6682805715277,244.38213063971725,PPO,RN,1
20000,249.56767950469762,1.5600788549188496,251.94307594595017,247.06077537509265,PPO,RN,1
25000,251.30368207690486,1.9651017333940033,253.8677573833021,248.71780479733687,PPO,RN,1
30000,254.2487123101636,3.2365898995986098,258.13321873664165,248.5993600702895,PPO,RN,1
35000,252.5082748136655,2.6214840252538916,254.96676794922146,247.84081065640927,PPO,RN,1
40000,253.80196769085848,2.961020179694331,258.85846743748334,249.6052160076893,PPO,RN,1
45000,256.48600657830195,2.1186964264960606,259.2585336970357,252.9844468725646,PPO,RN,1
50000,256.78514950809887,2.8827293943964807,259.4989038505482,252.72088582402338,PPO,RN,1
55000,255.4786578059987,0.6439323478270823,256.1450088248887,254.37127687660745,PPO,RN,1
60000,259.5610095702975,4.964342006977943,269.0364603344847,254.8947709522843,PPO,RN,1
65000,259.8719861469652,2.0188833515176414,263.3642855083587,257.63111376088233,PPO,RN,1
70000,269.7616224940108,7.40760953595362,282.5187959026873,263.2040002363898,PPO,RN,1
75000,270.19142126722375,4.4436291287906355,277.84925440361457,264.47854000427503,PPO,RN,1
80000,269.2966827983022,5.686115680419139,277.61994789694825,260.0010431143197,PPO,RN,1
85000,273.3439289488418,3.1778127738881317,279.18442610044207,269.88733144557904,PPO,RN,1
90000,274.2754369391481,8.64293140622231,288.4571087427974,262.4217851028971,PPO,RN,1
95000,272.875715346872,3.046921104126253,277.36577818265835,268.3698951621378,PPO,RN,1
100000,269.12545579896806,3.982672678758481,273.49212326127207,261.8681931833557,PPO,RN,1
105000,275.77291524616646,8.160433933582551,288.290515135565,264.77520633656803,PPO,RN,1
110000,272.0158182572401,3.6638777732613175,276.94063540187125,265.7442041622066,PPO,RN,1
115000,265.47072484465514,4.335227087982892,269.8548962513104,258.80462202837566,PPO,RN,1
120000,265.10487343758666,7.675567060450213,278.3168822433184,257.66543077758286,PPO,RN,1
125000,273.23190353830677,5.455178391511933,279.0076934072261,266.29366070009115,PPO,RN,1
130000,268.85471163166505,4.028174109800518,276.1187373100466,264.4442319366334,PPO,RN,1
